Year,Month,ATMs,ATM Cards,Prepaid Cards,Charge Cards,Credit Cards,Debit Cards,POS Machines,Total Cards
2021,September,2365,0,585246,536,327572,10945284,48709,11858638
2021,August,2381,0,581630,540,326064,10851251,48803,11759485
2021,July,2393,0,573742,541,324636,10835545,48877,11734464
2021,June,2401,0,560991,541,324131,10632008,48638,11517671
2021,May,2398,0,551216,541,325773,10829748,48318,11707278
2021,April,2400,0,519020,541,325926,10806890,47964,11652377
2021,March,2406,0,510458,541,324370,10819988,48355,11655357
2021,February,2411,0,556727,541,343302,10850720,47762,11751290
2021,January,2403,0,551088,541,337845,10784740,47149,11674214
2020,December,2412,0,551124,541,338175,10844565,48012,11734405
2020,November,2400,0,534257,541,321197,10891777,47643,11747772
2020,October,2409,0,534709,541,320016,10776076,47139,11631342
2020,September,2409,0,531061,541,319295,10717558,45965,11568455
2020,August,2410,0,525037,541,317335,10671220,46025,11514133
2020,July,2424,0,446977,541,328489,10329470,45759,11105477
2020,June,2425,0,470688,541,268965,10166812,45072,10907006
2020,May,2423,0,571551,541,269969,9544833,42544,10386894
2020,April,2435,0,665116,541,270054,10928581,43925,11864292
2020,March,2431,0,616480,541,269376,10659672,44544,11546069
2020,February,2433,0,704464,541,268484,10987580,43578,11961069
2020,January,2459,0,642119,541,266855,10672440,42772,11581955
2019,December,2459,0,635039,541,263255,10597465,42846,11496300
2019,November,2463,0,1570615,541,264976,10736926,43008,12573058
2019,October,2463,0,1955867,541,266612,10239661,44721,12462681
2019,September,2464,0,1939072,541,278931,10223152,44618,12441696
2019,August,2556,0,1932857,541,278210,10089886,43771,12301494
2019,July,2573,0,1926235,541,274433,10050502,43308,12251711
2019,June,2522,0,1864280,541,278526,10102328,42662,12245675
2019,May,2523,0,1829259,679,265548,9910439,42455,12005925
2019,April,2510,0,1832224,690,305995,10204941,41407,12343850
2019,March,2510,0,1814361,690,243066,10568223,41006,12626340
2019,February,2515,0,1359373,690,256039,11570064,40390,13186166
2019,January,2519,0,1273448,695,240784,16204058,45301,17718985
2018,December,2529,0,1261985,695,239484,16167386,44874,17669550
2018,November,2511,0,1258173,695,239152,14762909,47387,16260929
2018,October,2531,0,1256337,695,236236,14789758,43298,16283026
2018,September,2533,0,1372098,695,246053,15559387,40123,17178233
2018,August,2542,0,1370505,695,244753,15467439,39586,17083392
2018,July,2540,0,1369728,695,242315,15408056,39983,17020794
2018,June,2543,0,1368353,695,240541,15321768,39249,16931357
2018,May,2539,0,1366612,695,241581,15211444,38404,16820332
2018,April,2570,0,1365359,695,243478,15293089,37347,16902621
2018,March,2570,0,1360702,695,242346,14947935,36691,16551678
2018,February,2570,0,1359195,695,237245,14812630,35800,16409765
2018,January,2568,0,1357458,700,236928,14801546,34995,16396632
2017,December,2564,0,1357372,700,236392,13616645,35466,15211109
2017,November,2583,0,1356710,700,235351,14558067,35173,16150828
2017,October,2578,0,1351555,700,235984,14466681,35135,16054920
2017,September,2583,0,1350795,700,233622,14367056,34282,15952173
2017,August,2582,0,1349756,701,233737,14161872,34272,15746066
2017,July,2583,0,1341379,701,240065,13871122,34899,15453267
2017,June,2582,0,1339325,701,233563,13828809,34908,15402398
2017,May,2584,0,1324329,701,233105,13725578,31992,15283713
2017,April,2604,0,1339930,704,235350,12086113,33583,13662097
2017,March,2610,0,1336867,704,220154,13003463,31609,14561188
2017,February,2621,0,1336867,777,212214,13225323,29463,14775181
2017,January,2614,0,1643945,793,228279,13220419,28469,15093436
2016,December,2615,0,1503715,826,233752,12903875,30133,14642168
2016,November,2610,0,1499215,826,233601,12081077,30873,13814719
2016,October,2608,0,1498135,836,232003,11984025,29206,13714999
2016,September,2606,0,1497056,849,229668,11740715,29169,13468288
2016,August,2599,0,1473609,877,228588,11312911,27712,13015985
2016,July,2597,0,1496260,890,226486,11445969,27536,13169605
2016,June,2626,0,1472219,890,238068,11004968,26742,12716145
2016,May,2621,0,1489717,908,223892,11139056,26553,12853573
2016,April,2621,0,1909696,908,219843,10999166,25392,13129613
2016,March,2652,0,1897946,895,231679,11160777,24664,13291297
2016,February,2606,0,1865170,882,227691,10894112,23421,12987855
2016,January,2595,0,2019614,873,231233,10862641,22596,13114361
2015,December,2579,0,2047340,873,252178,10673090,22230,12973481
2015,November,2577,0,2026945,871,253070,10590005,21897,12870891
2015,October,2578,0,2000844,868,241499,10460606,21198,12703817
2015,September,2579,0,1698621,863,258051,11315416,20892,13272951
2015,August,2582,0,1687005,853,254116,10532757,19621,12474731
2015,July,2577,0,1590259,706,246390,10486684,19928,12324039
2015,June,2577,0,1566074,285,220475,10477834,19259,12264668
2015,May,2578,0,1510361,153,230355,10386636,18711,12127505
2015,April,2552,0,1436367,126,198893,10392621,17326,12028007
2015,March,2538,0,1279290,28,214076,10596607,17294,12090001
2015,February,2527,0,1226603,128,200047,10346769,17345,11773547
2015,January,2512,0,451944,51,186634,10252789,17487,10891418
2014,December,2514,0,419258,68,208352,10552312,17511,11179990
2014,November,2512,0,404865,28,239873,10562173,17015,11206939
2014,October,2501,0,390355,21,204943,10112926,16627,10708245
2014,September,2496,0,360114,20,203384,9850146,16143,10413664
2014,August,2490,0,206579,62,185875,9651875,15963,10044391
2014,July,2484,0,183694,210,207929,9444821,16201,9836654
2014,June,2553,0,186064,652,187765,8978007,17395,9352488
2014,May,2533,0,209400,756,186389,11638981,17315,12035526
2014,April,2544,0,151218,728,179926,11116734,17340,11448606
2014,March,2530,0,137203,740,167968,10853117,21868,11159028
2014,February,2442,0,128872,741,162138,10220766,21647,10512517
2014,January,2431,0,114582,746,160414,10164145,21436,10439887
2013,December,2417,0,73395,750,158612,9543204,21089,9775961
2013,November,2418,0,85287,753,179795,9543707,20470,9809542
2013,October,2410,0,77959,760,177928,9676371,20569,9933018
2013,September,2408,0,53092,764,152041,9503862,20046,9709759
2013,August,2402,0,46077,764,137299,9356027,19898,9540167
2013,July,2377,0,45029,765,135737,9231819,19638,9413350
2013,June,2369,0,34405,772,133137,9126946,19204,9295260
2013,May,2356,0,30210,772,130763,9103589,18796,9265334
2013,April,2338,0,29876,772,129494,9008818,18576,9168960
2013,March,2322,0,29463,772,140850,9218609,18350,9389694
2013,February,2329,0,30908,772,138963,9849025,18195,10019668
2013,January,2315,0,28331,786,138057,9162100,18422,9329274
2012,December,2306,0,27558,2095,138011,9063905,18478,9231569
2012,November,2285,0,25049,2733,137255,8965252,18435,9130289
2012,October,2264,0,22747,2733,134672,8819358,17989,8979510
2012,September,2257,0,20769,2733,135221,8650036,17702,8808759
2012,August,2247,0,22022,2733,135121,8523104,17589,8682980
2012,July,2235,0,21738,2733,132455,8225143,17065,8382069
2012,June,2217,0,21399,2877,131397,8121460,16630,8277133
2012,May,2207,0,21350,2841,131298,8003174,16061,8158663
2012,April,2197,0,21089,2838,127554,8102099,16034,8253580
2012,March,2177,0,21018,2886,125061,7975167,16395,8124132
2012,February,2161,0,21090,2707,125058,7736315,16930,7885170
2012,January,2149,0,19969,1319,122650,7909474,16705,8053412
2011,December,2130,0,22405,1339,122212,8548390,16604,8694346
2011,November,2111,0,22113,1342,120272,7672903,16320,7816630
2011,October,2107,0,23383,1351,120701,7322126,15922,7467561
2011,September,2105,0,22934,1358,120063,7144094,16209,7288449
2011,August,2096,0,22382,1404,118990,7131828,16177,7274604
2011,July,2090,0,22038,1390,118100,7073241,15909,7214769
2011,June,2071,0,21367,1418,119287,7002176,16714,7144248
2011,May,2059,0,20800,1431,116724,6924961,16545,7063916
2011,April,2050,0,20117,1446,115600,6871502,17060,7008665
2011,March,2039,0,19648,1457,114582,6721936,17259,6857623
2011,February,2031,0,19036,1474,112433,6247178,17998,6380121
2011,January,1994,0,18251,1475,113550,6241071,18313,6374347
2010,December,1979,0,18750,725,113192,6191792,18179,6324459
2010,November,1940,0,19054,714,113789,5746510,18243,5880067
2010,October,1925,0,19641,1129,114058,4617459,19279,4752287
2010,September,1913,0,19795,749,114204,4539792,20309,4674540
2010,August,1883,0,20115,773,112675,4353272,21805,4486835
2010,July,1861,0,19701,802,110788,4256198,21934,4387489
2010,June,1831,0,16081,791,111383,4156187,19608,4284442
2010,May,1828,0,16562,817,110147,4067088,19399,4194614
2010,April,1794,0,16803,825,112203,3955160,19753,4084991
2010,March,1777,0,17250,844,108345,3894580,18582,4021019
2010,February,1755,0,17230,2474,107927,3768154,17587,3895785
2010,January,1730,0,16870,1579,107682,3659965,17092,3786096
2009,December,1717,0,16749,1682,108456,3700646,15871,3827533
2009,November,1697,0,16742,1566,108683,3570659,15661,3697650
2009,October,1646,0,16733,1645,107216,3388228,16619,3513822
2009,September,1614,0,17255,1695,108899,4414666,4382,4542515
2009,August,1601,0,17249,1624,108911,3904066,4824,4031850
2009,July,1581,0,280,1679,108049,3280485,5063,3390493
