"Year","Month","Deposit","Savings","Lending","Overdraft"
"2021","March","6.46","3.48","12.05","11.61"
"2021","February","6.47","3.37","12.02","11.52"
"2021","August","6.3","2.64","12.12","11.38"
"2021","July","6.34","2.51","12.09","11.44"
"2021","January","6.31","2.73","12","11.43"
"2021","April","6.3","2.66","12.08","11.66"
"2021","September","6.34","2.57","12.1","11.34"
"2021","May","6.3","2.55","12.06","11.57"
"2021","June","6.37","2.55","12.02","11.18"
"2020","September","6.41","3.78","11.75","11.15"